DateTime, CaseName, Status, Mode, Number, LoadMult, NumDevices, NumBuses, NumNodes, Iterations, ControlMode, ControlIterations, MostIterationsDone, Year, Hour, MaxPuVoltage, MinPuVoltage, TotalMW, TotalMvar, MWLosses, pctLosses, MvarLosses, Frequency
"6/14/2018 1:28:20 AM", utility 01, SOLVED, Snap, 100,    1.000, 59, 34, 65, 13, STATIC, 3, 5, 0, 0, 1.0596, 0.95781, 3.56888, 1.74221, 0.112508, 3.152, 0.332648, 60
"6/14/2018 3:08:22 PM", utility 01, SOLVED, Snap, 100,    1.000, 59, 34, 65, 11, STATIC, 3, 4, 0, 0, 1.0596, 0.9578, 3.56901, 1.74232, 0.11252, 3.153, 0.332683, 60
"6/14/2018 3:10:57 PM", utility 01, SOLVED, Snap, 100,    1.000, 59, 34, 65, 11, STATIC, 3, 4, 0, 0, 1.0596, 0.9578, 3.56901, 1.74232, 0.11252, 3.153, 0.332683, 60
"6/14/2018 3:11:48 PM", utility 01, SOLVED, Snap, 100,    1.000, 59, 34, 65, 11, STATIC, 3, 4, 0, 0, 1.0596, 0.9578, 3.56901, 1.74232, 0.11252, 3.153, 0.332683, 60
"6/14/2018 3:12:07 PM", utility 01, SOLVED, Snap, 100,    1.000, 59, 34, 65, 11, STATIC, 3, 4, 0, 0, 1.0596, 0.9578, 3.56901, 1.74232, 0.11252, 3.153, 0.332683, 60
"6/14/2018 3:13:23 PM", utility 01, SOLVED, Snap, 100,    1.000, 59, 34, 65, 11, STATIC, 3, 4, 0, 0, 1.0596, 0.9578, 3.56901, 1.74232, 0.11252, 3.153, 0.332683, 60
"6/14/2018 3:18:11 PM", utility 01, SOLVED, Snap, 100,    1.000, 59, 34, 65, 11, STATIC, 3, 4, 0, 0, 1.0596, 0.9578, 3.56901, 1.74232, 0.11252, 3.153, 0.332683, 60
"6/14/2018 3:19:48 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 59, 34, 65, 2, STATIC, 1, 2, 0, 0, 1.031, 1.0001, 1.08445, -0.0283485, 0.0103089, 0.9506, 0.02828, 60
"6/14/2018 3:21:08 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 60, 34, 65, 2, STATIC, 1, 2, 0, 0, 1.031, 1.0001, 1.08445, -0.0283485, 0.0103089, 0.9506, 0.02828, 60
"6/14/2018 3:21:19 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 60, 34, 65, 2, STATIC, 1, 2, 0, 0, 1.031, 1.0001, 1.08445, -0.0283485, 0.0103089, 0.9506, 0.02828, 60
"6/14/2018 3:24:50 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 60, 34, 65, 2, STATIC, 1, 2, 0, 0, 1.031, 1.0001, 1.08445, -0.0283485, 0.0103089, 0.9506, 0.02828, 60
"6/14/2018 3:25:44 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 60, 34, 65, 2, TIME, 1, 2, 0, 0, 1.031, 1.0001, 1.08444, -0.028348, 0.0103087, 0.9506, 0.0282795, 60
"6/14/2018 3:27:33 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 60, 34, 65, 2, TIME, 1, 2, 0, 0, 1.0313, 1.0001, 1.08503, -0.0305845, 0.0102769, 0.9472, 0.028179, 60
"6/14/2018 3:28:31 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 60, 34, 65, 2, TIME, 1, 2, 0, 0, 1.0313, 1.0001, 1.08503, -0.0305845, 0.0102769, 0.9472, 0.028179, 60
"6/14/2018 3:28:44 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 60, 34, 65, 2, TIME, 1, 2, 0, 0, 1.031, 1.0001, 1.08444, -0.028348, 0.0103087, 0.9506, 0.0282795, 60
"6/14/2018 3:29:07 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 60, 34, 65, 2, TIME, 1, 2, 0, 0, 1.031, 1.0001, 1.08444, -0.028348, 0.0103087, 0.9506, 0.0282795, 60
"6/14/2018 3:30:26 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 60, 34, 65, 2, TIME, 1, 2, 0, 0, 1.031, 1.0001, 1.08444, -0.028348, 0.0103087, 0.9506, 0.0282795, 60
"6/14/2018 3:31:29 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 60, 34, 65, 2, TIME, 1, 2, 0, 0, 1.031, 1.0001, 1.08444, -0.028348, 0.0103087, 0.9506, 0.0282795, 60
"6/14/2018 3:32:28 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 60, 34, 65, 2, TIME, 1, 2, 0, 0, 1.031, 1.0001, 1.08444, -0.028348, 0.0103087, 0.9506, 0.0282795, 60
"6/14/2018 4:16:48 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 61, 34, 65, 2, TIME, 1, 2, 0, 0, 1.031, 1.0001, 1.08444, -0.028348, 0.0103087, 0.9506, 0.0282795, 60
"6/14/2018 4:18:21 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 61, 34, 65, 2, TIME, 1, 2, 0, 0, 1.031, 1.0001, 1.08444, -0.028348, 0.0103087, 0.9506, 0.0282795, 60
"6/14/2018 4:19:06 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 61, 34, 65, 2, TIME, 1, 2, 0, 0, 1.031, 1.0001, 1.08444, -0.028348, 0.0103087, 0.9506, 0.0282795, 60
"6/14/2018 4:19:18 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 61, 34, 65, 2, TIME, 1, 2, 0, 0, 1.031, 1.0001, 1.08444, -0.028348, 0.0103087, 0.9506, 0.0282795, 60
"6/14/2018 4:19:58 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 61, 34, 65, 2, TIME, 1, 2, 0, 0, 1.031, 1.0001, 1.08444, -0.028348, 0.0103087, 0.9506, 0.0282795, 60
"6/14/2018 4:20:09 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 61, 34, 65, 2, TIME, 1, 2, 0, 0, 1.031, 1.0001, 1.08444, -0.028348, 0.0103087, 0.9506, 0.0282795, 60
"6/14/2018 4:20:38 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 61, 34, 65, 2, TIME, 1, 2, 0, 0, 1.031, 1.0001, 1.08444, -0.028348, 0.0103087, 0.9506, 0.0282795, 60
"6/14/2018 4:23:06 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 61, 34, 65, 2, TIME, 1, 2, 0, 0, 1.2567, 0.90925, 1.93628, -6.57234, 0.707445, 36.54, 1.93404, 60
"6/14/2018 4:29:01 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 61, 34, 65, 2, TIME, 1, 2, 0, 0, 1.031, 1.0001, 1.08444, -0.028348, 0.0103087, 0.9506, 0.0282795, 60
"6/14/2018 4:30:29 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 61, 34, 65, 2, TIME, 1, 2, 0, 0, 1.031, 1.0001, 1.08444, -0.028348, 0.0103087, 0.9506, 0.0282795, 60
"6/14/2018 4:32:29 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 61, 34, 65, 2, TIME, 1, 2, 0, 0, 1.0313, 1.0001, 1.08503, -0.0305845, 0.0102769, 0.9472, 0.028179, 60
"6/14/2018 4:36:00 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 61, 34, 65, 2, TIME, 1, 2, 0, 0, 1.0313, 1.0001, 1.08503, -0.0305845, 0.0102769, 0.9472, 0.028179, 60
"6/14/2018 5:17:21 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 61, 34, 65, 2, TIME, 1, 2, 0, 0, 1.0313, 1.0001, 1.08503, -0.0305845, 0.0102769, 0.9472, 0.028179, 60
"6/14/2018 5:18:06 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 61, 34, 65, 2, TIME, 1, 2, 0, 0, 1.0313, 1.0001, 1.08503, -0.0305845, 0.0102769, 0.9472, 0.028179, 60
"6/14/2018 5:58:12 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 61, 34, 65, 2, TIME, 1, 2, 0, 0, 1.0313, 1.0001, 1.08503, -0.0305845, 0.0102769, 0.9472, 0.028179, 60
"6/14/2018 6:02:52 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 61, 34, 65, 2, STATIC, 1, 2, 0, 0, 1.031, 1.0001, 1.08445, -0.0283485, 0.0103089, 0.9506, 0.02828, 60
"6/14/2018 6:03:11 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 61, 34, 65, 2, STATIC, 1, 2, 0, 0, 1.031, 1.0001, 1.08445, -0.0283485, 0.0103089, 0.9506, 0.02828, 60
"6/14/2018 6:03:30 PM", PecanStreet, SOLVED, Daily, 1440,    1.000, 61, 34, 65, 2, STATIC, 1, 2, 0, 0, 1.031, 1.0001, 1.08445, -0.0283485, 0.0103089, 0.9506, 0.02828, 60
"6/14/2018 6:04:28 PM", PecanStreet, SOLVED, Snap, 100,    1.000, 61, 34, 65, 0, STATIC, 0, 0
"6/14/2018 6:08:23 PM", PecanStreet, SOLVED, Snap, 100,    1.000, 61, 34, 65, 0, STATIC, 0, 0
"6/14/2018 6:20:48 PM", PecanStreet, SOLVED, Snap, 100,    1.000, 61, 34, 65, 0, STATIC, 0, 0
"6/14/2018 6:38:38 PM", PecanStreet, SOLVED, Snap, 100,    1.000, 61, 34, 65, 0, STATIC, 0, 0
"6/14/2018 6:39:07 PM", PecanStreet, SOLVED, Snap, 100,    1.000, 61, 34, 65, 0, STATIC, 0, 0
"6/14/2018 6:40:26 PM", PecanStreet, SOLVED, Snap, 100,    1.000, 61, 34, 65, 0, STATIC, 0, 0
"6/14/2018 6:40:49 PM", PecanStreet, SOLVED, Snap, 100,    1.000, 61, 34, 65, 0, STATIC, 0, 0
"6/14/2018 11:01:12 PM", PecanStreet, SOLVED, Snap, 100,    1.000, 61, 34, 65, 0, STATIC, 0, 0
"6/14/2018 11:01:24 PM", PecanStreet, SOLVED, Snap, 100,    1.000, 61, 34, 65, 0, STATIC, 0, 0
"6/14/2018 11:42:00 PM", PecanStreet, SOLVED, Snap, 100,    1.000, 61, 34, 65, 0, STATIC, 0, 0
"6/14/2018 11:42:58 PM", PecanStreet, SOLVED, Snap, 100,    1.000, 61, 34, 65, 0, STATIC, 0, 0
"6/14/2018 11:45:05 PM", PecanStreet, SOLVED, Snap, 100,    1.000, 61, 34, 65, 0, STATIC, 0, 0
"6/14/2018 11:46:06 PM", PecanStreet, SOLVED, Snap, 100,    1.000, 61, 34, 65, 0, STATIC, 0, 0
"6/14/2018 11:48:44 PM", PecanStreet, SOLVED, Snap, 100,    1.000, 61, 34, 65, 0, STATIC, 0, 0
"6/14/2018 11:49:02 PM", PecanStreet, SOLVED, Snap, 100,    1.000, 61, 34, 65, 0, STATIC, 0, 0
"6/14/2018 11:49:11 PM", PecanStreet, SOLVED, Snap, 100,    1.000, 61, 34, 65, 0, STATIC, 0, 0
"6/14/2018 11:51:00 PM", PecanStreet, SOLVED, Snap, 100,    1.000, 61, 34, 65, 0, STATIC, 0, 0
"6/14/2018 11:52:44 PM", PecanStreet, SOLVED, Snap, 100,    1.000, 61, 34, 65, 0, STATIC, 0, 0
