idx,Bus,Top,Toff,flp,kVAr,VBP1,VBP2,VBP3,VBP4
1,a02,0.1,0,2,30,0.95,0.98,1.02,1.05
2,a02,0.1,0,2,30,0.95,0.98,1.02,1.05
3,a02,0.1,0,2,30,0.95,0.98,1.02,1.05
4,a02,0.1,0,2,30,0.95,0.98,1.02,1.05
5,a02,0.1,0,2,30,0.95,0.98,1.02,1.05
6,a03,0.1,0,2,30,0.95,0.98,1.02,1.05
7,a03,0.1,0,2,30,0.95,0.98,1.02,1.05
8,a03,0.1,0,2,30,0.95,0.98,1.02,1.05
9,a03,0.1,0,2,30,0.95,0.98,1.02,1.05
10,a03,0.1,0,2,30,0.95,0.98,1.02,1.05
11,a04,0.1,0,2,30,0.95,0.98,1.02,1.05
12,a04,0.1,0,2,30,0.95,0.98,1.02,1.05
13,a04,0.1,0,2,30,0.95,0.98,1.02,1.05
14,a04,0.1,0,2,30,0.95,0.98,1.02,1.05
15,a04,0.1,0,2,30,0.95,0.98,1.02,1.05
16,a05,0.1,0,2,30,0.95,0.98,1.02,1.05
17,a05,0.1,0,2,30,0.95,0.98,1.02,1.05
18,a05,0.1,0,2,30,0.95,0.98,1.02,1.05
19,a05,0.1,0,2,30,0.95,0.98,1.02,1.05
20,a05,0.1,0,2,30,0.95,0.98,1.02,1.05
21,a06,0.1,0,2,30,0.95,0.98,1.02,1.05
22,a06,0.1,0,2,30,0.95,0.98,1.02,1.05
23,a06,0.1,0,2,30,0.95,0.98,1.02,1.05
24,a06,0.1,0,2,30,0.95,0.98,1.02,1.05
25,a06,0.1,0,2,30,0.95,0.98,1.02,1.05
